mc_step,rho_C,L_CD
0,0.507,9996
1,0.4933,9972
2,0.5913,9574
3,0.5039,9898
4,0.5737,9944
5,0.5401,9894
6,0.5769,9926
7,0.5841,9818
8,0.5983,9890
9,0.6005,9812
10,0.6078,9818
11,0.6232,9600
12,0.6305,9528
13,0.6343,9444
14,0.6452,9254
15,0.6461,9318
16,0.6483,9272
17,0.6409,9272
18,0.6545,9046
19,0.6599,8990
20,0.6641,9066
21,0.6619,9072
22,0.6583,9052
23,0.6638,8914
24,0.6658,9026
25,0.6574,9020
26,0.6657,8932
27,0.6615,9062
28,0.6628,8950
29,0.6665,8868
30,0.6555,9096
31,0.6627,9068
32,0.6602,8974
33,0.6687,8884
34,0.6602,8866
35,0.664,8940
36,0.673,8840
37,0.6656,9080
38,0.662,8948
39,0.6594,9018
40,0.6583,9174
41,0.6722,8942
42,0.658,9156
43,0.6538,9142
44,0.6532,9096
45,0.655,9148
46,0.668,8908
47,0.6653,8874
48,0.6685,8820
49,0.6637,8980
50,0.6649,8948
51,0.6672,9084
52,0.6683,8932
53,0.664,8954
54,0.66,9072
55,0.6559,9036
56,0.6629,8906
57,0.6657,9028
58,0.6646,8992
59,0.6644,8910
60,0.6695,8984
61,0.6636,8974
62,0.6592,9002
63,0.6705,8778
64,0.6613,9016
65,0.6633,8852
66,0.6529,9118
67,0.6712,8882
68,0.6618,9056
69,0.6543,9080
70,0.6637,9020
71,0.6655,8948
72,0.6638,8954
73,0.6709,8880
74,0.6568,9004
75,0.663,8860
76,0.6661,8900
77,0.6595,8988
78,0.6629,8948
79,0.6558,9064
80,0.664,8858
81,0.6635,8944
82,0.6604,8928
83,0.665,8870
84,0.6528,9108
85,0.6601,8962
86,0.6653,9060
87,0.6556,9002
88,0.6603,9064
89,0.6564,9048
90,0.6577,9080
91,0.663,9058
92,0.6651,9020
93,0.6621,9086
94,0.6605,9008
95,0.6618,8964
96,0.6655,8890
97,0.6578,9056
98,0.666,8958
99,0.6634,8838
100,0.6657,9044
101,0.6641,8898
102,0.6631,8968
103,0.6637,8840
104,0.6634,8924
105,0.6554,9036
106,0.6619,9034
107,0.6605,8990
108,0.6693,8992
109,0.6572,8942
110,0.6554,8964
111,0.6647,8874
112,0.6685,8990
113,0.6604,8974
114,0.6602,8858
115,0.6594,9038
116,0.6667,8984
117,0.6599,9050
118,0.6538,9086
119,0.6642,8914
120,0.6692,8906
121,0.6632,9070
122,0.6697,8852
123,0.6668,8992
124,0.66,9098
125,0.6611,9024
126,0.6594,9124
127,0.6624,8988
128,0.66,9038
129,0.6722,8852
130,0.6632,9002
131,0.6608,9026
132,0.6554,8996
133,0.6606,8986
134,0.6597,8976
135,0.6592,8990
136,0.6648,9010
137,0.6593,8988
138,0.6604,9062
139,0.6598,8964
140,0.6605,9018
141,0.6571,8940
142,0.6565,9146
143,0.6571,9042
144,0.6638,8966
145,0.6656,8872
146,0.6684,8896
147,0.6561,9034
148,0.6543,9140
149,0.6544,9202
150,0.6558,8986
151,0.6545,9034
152,0.6557,9102
153,0.6621,8902
154,0.6554,9120
155,0.655,9148
156,0.6637,8858
157,0.6675,8910
158,0.6589,9138
159,0.6631,8806
160,0.6579,9032
161,0.6651,8938
162,0.6704,8884
163,0.6581,8996
164,0.6594,8932
165,0.6655,8938
166,0.6661,8870
167,0.6746,8834
168,0.6703,8816
169,0.664,8988
170,0.652,9064
171,0.6578,8936
172,0.6502,9154
173,0.6623,8898
174,0.6599,9012
175,0.6692,8870
176,0.6679,8826
177,0.676,8782
178,0.6631,8920
179,0.6668,9024
180,0.6653,9072
181,0.6612,8966
182,0.6625,9168
183,0.66,9018
184,0.6561,8966
185,0.6547,9074
186,0.6618,8942
187,0.667,9030
188,0.6682,8870
189,0.6537,9072
190,0.6604,9000
191,0.6502,9224
192,0.6571,9002
193,0.6617,8974
194,0.6568,8894
195,0.6599,9008
196,0.6554,8978
197,0.6555,9042
198,0.6562,9094
199,0.6689,8930
200,0.6636,8962
201,0.6626,9068
202,0.6649,8910
203,0.6612,8930
204,0.6653,8854
205,0.6669,8868
206,0.6604,9134
207,0.6695,8884
208,0.6614,9022
209,0.6575,9018
210,0.6628,8926
211,0.6634,8954
212,0.6633,8906
