mc_step,rho_C,L_CD
0,0.5049,9926
1,0.323,7398
2,0.5038,7052
3,0.2957,5918
4,0.5193,6306
5,0.2739,5282
6,0.5269,5902
7,0.2615,4960
8,0.5369,5784
9,0.2489,4712
10,0.542,5660
11,0.2348,4236
12,0.5568,5504
13,0.2256,4068
14,0.5667,5410
15,0.2162,3782
16,0.5751,5350
17,0.2133,3740
18,0.5789,5168
19,0.2083,3546
20,0.5793,5138
21,0.2019,3280
22,0.5932,5050
23,0.2022,3308
24,0.5974,5024
25,0.1979,3214
26,0.6057,4954
27,0.1914,3164
28,0.6116,4876
29,0.1887,3044
30,0.6122,4856
31,0.1882,2998
32,0.6144,4844
33,0.1821,2872
34,0.624,4712
35,0.1841,2900
36,0.621,4740
37,0.1818,2832
38,0.625,4724
39,0.1771,2728
40,0.6297,4630
41,0.1721,2606
42,0.6392,4592
43,0.1677,2562
44,0.6422,4604
45,0.1639,2512
46,0.646,4640
47,0.1653,2536
48,0.6495,4560
49,0.16,2420
50,0.6549,4472
51,0.1591,2300
52,0.6615,4414
53,0.1589,2278
54,0.6611,4398
55,0.1606,2332
56,0.6624,4244
57,0.1618,2314
58,0.6628,4256
59,0.1578,2206
60,0.6663,4200
61,0.1559,2184
62,0.6773,4162
63,0.1524,2134
64,0.6813,4096
65,0.1494,2080
66,0.6782,4166
67,0.1476,2048
68,0.6785,4184
69,0.1441,1994
70,0.6901,4020
71,0.1449,1974
72,0.6912,4092
73,0.1402,1912
74,0.6964,4100
75,0.1401,1892
76,0.6948,4030
77,0.1411,1910
78,0.6977,4058
79,0.1349,1782
80,0.7026,3892
81,0.137,1860
82,0.7006,3894
83,0.1376,1848
84,0.7052,3896
85,0.1358,1776
86,0.7026,3756
87,0.1361,1784
88,0.7071,3950
89,0.1345,1778
90,0.7147,3852
91,0.1358,1752
92,0.7121,3804
93,0.1294,1624
94,0.7164,3742
95,0.1281,1638
96,0.719,3740
97,0.1292,1620
98,0.7195,3770
99,0.13,1652
100,0.7227,3660
101,0.1263,1552
102,0.729,3594
103,0.1255,1430
104,0.7296,3544
105,0.1252,1550
106,0.7284,3738
107,0.1218,1546
108,0.7328,3524
109,0.1236,1490
110,0.7363,3490
111,0.1249,1490
112,0.7312,3590
113,0.1206,1414
114,0.7393,3502
115,0.1229,1432
116,0.737,3556
117,0.1211,1478
118,0.7379,3610
119,0.119,1444
120,0.7422,3560
121,0.1161,1478
122,0.7429,3620
123,0.1172,1430
124,0.7438,3538
125,0.1167,1442
126,0.7458,3550
127,0.1135,1424
128,0.7482,3450
129,0.1157,1432
130,0.7493,3366
131,0.1162,1398
132,0.7473,3346
133,0.1166,1374
134,0.7478,3322
135,0.1161,1392
136,0.7529,3300
137,0.1127,1306
138,0.7532,3288
139,0.1113,1308
140,0.7582,3298
141,0.1115,1338
142,0.7588,3348
143,0.1111,1350
144,0.756,3286
145,0.1149,1410
146,0.7565,3400
147,0.1099,1346
148,0.7622,3272
149,0.1078,1266
150,0.7664,3188
151,0.1065,1262
152,0.7632,3312
153,0.1075,1270
154,0.764,3126
155,0.1062,1238
156,0.7631,3218
157,0.1095,1322
158,0.7616,3296
159,0.1094,1248
160,0.767,3142
161,0.1106,1326
162,0.7644,3116
163,0.1093,1242
164,0.7651,3074
165,0.1108,1244
166,0.764,3164
167,0.1101,1274
168,0.7649,3106
169,0.1092,1248
170,0.7676,2972
171,0.1085,1190
172,0.7678,3072
173,0.1083,1252
174,0.7683,3012
175,0.1094,1224
176,0.7699,2970
177,0.1075,1248
178,0.7677,3178
179,0.1084,1212
180,0.7711,2958
181,0.1062,1226
182,0.7755,3046
183,0.1044,1222
184,0.7737,3164
185,0.1052,1234
186,0.7761,3058
187,0.1025,1148
188,0.7779,3002
189,0.1028,1128
190,0.78,2930
191,0.1036,1126
192,0.7797,2968
193,0.103,1176
194,0.7791,2900
195,0.1038,1182
196,0.7802,2974
197,0.1057,1216
198,0.7748,2988
199,0.1081,1232
200,0.7768,2952
201,0.1061,1228
202,0.7794,2958
203,0.1043,1250
204,0.7771,2970
205,0.1052,1238
206,0.7813,3024
207,0.1005,1154
208,0.7887,2830
209,0.1012,1172
210,0.7852,2886
211,0.1024,1208
212,0.7865,2874
213,0.1027,1148
214,0.7837,2854
215,0.1027,1184
216,0.78,2884
217,0.1047,1208
218,0.7846,2706
219,0.1057,1146
220,0.7811,2794
221,0.1041,1154
222,0.7818,2878
223,0.1031,1202
224,0.7868,2868
225,0.0999,1110
226,0.7866,2794
227,0.0993,1098
228,0.7903,2800
229,0.0997,1136
230,0.7868,2814
231,0.1007,1090
232,0.7897,2840
233,0.0986,1108
234,0.7926,2856
235,0.0989,1066
236,0.7897,2760
237,0.1007,1118
238,0.789,2792
239,0.0996,1116
240,0.7904,2744
241,0.0997,1080
242,0.792,2724
243,0.0984,1092
244,0.7937,2826
245,0.0991,1078
246,0.7924,2794
247,0.1003,1120
248,0.7918,2746
249,0.097,1066
250,0.792,2816
251,0.0991,1120
252,0.7925,2742
253,0.0985,1052
254,0.7933,2744
255,0.1002,1116
256,0.7908,2728
257,0.0978,1082
258,0.7939,2764
259,0.0985,1102
260,0.7938,2702
261,0.0997,1058
262,0.7971,2550
263,0.0985,1020
264,0.799,2580
265,0.0986,1060
266,0.7945,2680
267,0.0982,1082
268,0.7933,2640
269,0.1023,1104
270,0.7938,2580
271,0.1018,1096
272,0.7918,2666
273,0.1002,1100
274,0.7978,2678
275,0.0985,1132
276,0.7941,2686
277,0.099,1052
278,0.7961,2688
279,0.1003,1164
280,0.7947,2704
281,0.0997,1118
282,0.7977,2650
283,0.0972,1058
284,0.7975,2640
285,0.0984,1068
286,0.795,2658
287,0.0974,1104
288,0.8004,2616
289,0.0959,1060
290,0.8007,2604
291,0.0963,996
292,0.8045,2496
293,0.0967,1042
294,0.7991,2604
295,0.0982,1078
296,0.8012,2568
297,0.0974,1062
298,0.7996,2582
299,0.0972,1042
300,0.8036,2550
301,0.0952,1014
302,0.8043,2472
303,0.0955,1044
304,0.8024,2638
305,0.0951,1048
306,0.8016,2502
307,0.0968,1098
308,0.8014,2572
309,0.0975,1130
310,0.8018,2558
311,0.0953,1008
312,0.8044,2510
313,0.0971,1048
314,0.8007,2582
315,0.0985,1054
316,0.8008,2548
317,0.0978,1072
318,0.7994,2554
319,0.0969,1072
320,0.8047,2508
321,0.0965,1042
322,0.8028,2444
323,0.0971,1090
324,0.8003,2650
325,0.0976,1038
326,0.8081,2392
327,0.0955,1036
328,0.8037,2544
329,0.0961,1086
330,0.8045,2488
331,0.0954,1016
332,0.8045,2534
333,0.0949,998
334,0.8085,2344
335,0.096,1030
336,0.8068,2378
337,0.0975,1088
338,0.8049,2482
339,0.093,1056
340,0.805,2548
341,0.0943,1028
342,0.8087,2424
343,0.0967,1042
344,0.8057,2448
345,0.0964,1030
346,0.8077,2464
347,0.097,1082
348,0.8077,2412
349,0.0954,1108
350,0.8109,2332
351,0.093,1062
352,0.8092,2420
353,0.0942,1004
354,0.8134,2260
355,0.0946,1014
356,0.8107,2398
357,0.0941,1026
358,0.8061,2474
359,0.0949,1052
360,0.8081,2432
361,0.0946,998
362,0.8114,2344
363,0.0946,1006
364,0.8135,2280
365,0.095,1036
366,0.8097,2362
367,0.0945,1022
368,0.8108,2348
369,0.0957,1020
370,0.8098,2406
371,0.0925,1036
372,0.8138,2370
373,0.0931,1012
374,0.8075,2448
375,0.0922,1002
376,0.8104,2404
377,0.0937,1034
378,0.8064,2402
379,0.0975,1062
380,0.8055,2382
381,0.0981,1128
382,0.8094,2354
383,0.093,986
384,0.813,2296
385,0.0943,1000
386,0.8105,2328
387,0.096,990
388,0.8105,2372
389,0.0926,972
390,0.8126,2292
391,0.0931,1000
392,0.8098,2370
393,0.093,1016
394,0.8093,2432
395,0.0941,988
396,0.812,2390
397,0.0921,990
398,0.8115,2396
399,0.0958,1028
400,0.8138,2178
401,0.0944,1000
402,0.8145,2248
403,0.0945,1084
404,0.814,2258
405,0.0947,1028
406,0.8093,2336
407,0.0956,1026
408,0.8142,2272
409,0.0963,954
410,0.8149,2238
411,0.0929,942
412,0.8134,2272
413,0.092,996
414,0.8175,2230
415,0.0946,988
416,0.8148,2260
417,0.0953,1026
418,0.8153,2316
419,0.0927,962
420,0.8144,2296
421,0.0928,1008
422,0.8176,2272
423,0.0928,978
424,0.8153,2368
425,0.0924,994
426,0.8199,2246
427,0.0905,1004
428,0.82,2288
429,0.0909,996
430,0.8168,2220
431,0.0922,980
432,0.8169,2182
433,0.0933,972
434,0.8184,2192
435,0.093,1000
436,0.8199,2222
437,0.092,1072
438,0.8171,2268
439,0.0901,952
440,0.8194,2234
441,0.0906,1008
442,0.8185,2248
443,0.0934,1034
444,0.8191,2192
445,0.0922,1038
446,0.8168,2344
447,0.0899,986
448,0.8186,2214
449,0.0922,968
450,0.819,2190
451,0.0916,988
452,0.8187,2184
453,0.0916,968
454,0.818,2224
455,0.093,1014
456,0.8182,2176
457,0.0941,968
458,0.8163,2216
459,0.0923,970
460,0.8147,2236
461,0.0923,1006
462,0.8195,2242
463,0.0914,990
464,0.8199,2226
465,0.0933,1002
466,0.8181,2182
467,0.094,984
468,0.8164,2196
469,0.0948,986
470,0.8157,2188
471,0.0944,1024
472,0.8175,2188
473,0.0935,968
474,0.821,2186
475,0.0922,1014
476,0.8165,2208
477,0.0935,1010
478,0.8159,2258
479,0.0929,954
480,0.8188,2202
481,0.0897,980
482,0.8224,2130
483,0.0886,930
484,0.8219,2232
485,0.0893,930
486,0.8223,2228
487,0.0927,988
488,0.819,2252
489,0.0896,1004
490,0.82,2164
491,0.0888,926
492,0.8237,2162
493,0.0872,926
494,0.827,2114
495,0.0875,914
496,0.8253,2124
497,0.0888,926
498,0.8263,2164
499,0.088,954
500,0.8228,2190
501,0.0889,1004
502,0.8255,2094
503,0.09,966
504,0.8242,2130
505,0.0891,972
506,0.8245,2084
507,0.0892,972
508,0.8224,2172
509,0.0908,970
510,0.8232,2136
511,0.0902,952
512,0.8261,2118
513,0.0889,968
