mc_step,rho_C,rho_CD
0,0.506,0.4948
1,0.4228,0.41
2,0.444,0.3532
3,0.4116,0.3408
4,0.4416,0.3368
5,0.4052,0.3192
6,0.4496,0.3084
7,0.3928,0.2924
8,0.4568,0.292
9,0.3904,0.278
10,0.4512,0.2788
11,0.3824,0.2712
12,0.45,0.2664
13,0.3796,0.256
14,0.4544,0.2724
15,0.3748,0.2512
16,0.4596,0.2616
17,0.3692,0.2536
18,0.4592,0.2572
19,0.378,0.2524
20,0.4548,0.2568
21,0.376,0.2404
22,0.446,0.2488
23,0.3756,0.24
24,0.4532,0.252
25,0.3792,0.24
26,0.4544,0.2484
27,0.3868,0.2352
28,0.4496,0.2376
29,0.376,0.2336
30,0.4544,0.2472
31,0.378,0.2408
32,0.444,0.2448
33,0.3884,0.2364
34,0.4444,0.2476
35,0.3708,0.2372
36,0.4636,0.2484
37,0.3672,0.2404
38,0.4604,0.2456
39,0.3716,0.2376
40,0.4484,0.2384
41,0.3856,0.2392
42,0.4436,0.2392
43,0.3864,0.2368
44,0.4488,0.2396
45,0.384,0.2344
46,0.4496,0.2404
47,0.3836,0.2272
48,0.4476,0.2316
49,0.3796,0.2352
50,0.4512,0.2408
51,0.37,0.228
52,0.4652,0.2404
53,0.3704,0.2244
54,0.4548,0.2388
55,0.3756,0.2332
56,0.4484,0.2348
57,0.3748,0.2276
58,0.458,0.226
59,0.3696,0.2176
60,0.4544,0.2336
61,0.3724,0.2208
62,0.4636,0.2248
63,0.3656,0.2252
64,0.4648,0.2352
65,0.3624,0.22
66,0.4676,0.2328
67,0.3636,0.2284
68,0.4572,0.2452
69,0.3672,0.2208
70,0.4568,0.2244
71,0.3684,0.218
72,0.4528,0.228
73,0.3612,0.2132
74,0.4756,0.234
75,0.3604,0.2232
76,0.46,0.2368
77,0.3616,0.214
78,0.468,0.2368
79,0.3616,0.2144
80,0.4716,0.232
81,0.3524,0.2228
82,0.4676,0.2372
83,0.3528,0.2176
84,0.4788,0.234
85,0.3472,0.2088
86,0.4796,0.2324
87,0.3512,0.2176
88,0.478,0.2396
89,0.364,0.208
90,0.4708,0.2332
91,0.3604,0.212
92,0.4736,0.232
93,0.3556,0.2152
94,0.4656,0.2228
95,0.3608,0.2064
96,0.4724,0.222
97,0.3436,0.1992
98,0.4772,0.232
