mc_step,rho_C,rho_CD
0,0.5016,0.5036
1,0.3296,0.3776
2,0.4904,0.3628
3,0.3024,0.3052
4,0.492,0.326
5,0.3004,0.2932
6,0.494,0.304
7,0.2804,0.2608
8,0.492,0.2976
9,0.2536,0.228
10,0.5044,0.2876
11,0.258,0.2352
12,0.4948,0.2732
13,0.2516,0.2252
14,0.494,0.2792
15,0.2448,0.2172
16,0.4992,0.2728
17,0.242,0.208
18,0.508,0.2756
19,0.2312,0.2012
20,0.5184,0.2684
21,0.2292,0.1944
22,0.514,0.2696
23,0.2292,0.1972
24,0.5148,0.272
25,0.2184,0.1844
26,0.5332,0.268
27,0.22,0.1868
28,0.5312,0.2584
29,0.2112,0.1692
30,0.5456,0.2624
31,0.2168,0.1768
32,0.5316,0.256
33,0.2176,0.1772
34,0.536,0.2592
35,0.21,0.1672
36,0.5412,0.2516
37,0.2056,0.1632
38,0.5468,0.2492
39,0.2048,0.1564
40,0.5448,0.246
41,0.2016,0.1616
42,0.56,0.2532
43,0.2044,0.1596
44,0.558,0.2484
45,0.1944,0.1496
46,0.5624,0.2544
47,0.1968,0.152
48,0.558,0.2468
49,0.1968,0.152
50,0.5648,0.2508
51,0.1788,0.1384
52,0.5728,0.2448
53,0.1876,0.1376
54,0.5868,0.238
55,0.1844,0.1364
56,0.5876,0.2372
57,0.1812,0.1304
58,0.5836,0.2408
59,0.1772,0.1284
60,0.6004,0.2348
61,0.1732,0.128
62,0.5916,0.2288
63,0.172,0.1288
64,0.604,0.2376
65,0.1688,0.1276
66,0.606,0.2304
67,0.1744,0.1344
68,0.5964,0.2328
69,0.1704,0.1224
70,0.6124,0.2328
71,0.172,0.1244
72,0.6008,0.2352
73,0.1688,0.1228
74,0.61,0.2404
75,0.1636,0.1156
76,0.6068,0.2288
77,0.1768,0.1232
78,0.6008,0.2408
79,0.1796,0.1388
80,0.5984,0.2332
81,0.1708,0.1304
82,0.6072,0.23
83,0.164,0.1208
84,0.6112,0.2228
85,0.1668,0.1172
86,0.602,0.2152
87,0.172,0.1244
88,0.6064,0.2288
89,0.162,0.1164
90,0.6192,0.2304
91,0.1636,0.1204
92,0.6188,0.2272
93,0.1624,0.1184
94,0.6244,0.214
95,0.1664,0.1048
96,0.6236,0.2256
97,0.156,0.1076
98,0.6348,0.2236
99,0.1512,0.0956
100,0.6308,0.2256
101,0.152,0.106
102,0.6408,0.226
103,0.1544,0.11
104,0.6368,0.2264
105,0.152,0.1056
106,0.6352,0.2232
107,0.1508,0.1
108,0.6392,0.21
109,0.1528,0.1036
110,0.6388,0.222
111,0.1524,0.106
112,0.6428,0.228
113,0.1496,0.102
114,0.642,0.2196
115,0.1528,0.1036
116,0.6428,0.2168
117,0.1544,0.1056
118,0.6384,0.2188
119,0.1516,0.1008
120,0.6384,0.2016
121,0.1524,0.1016
122,0.632,0.232
123,0.1568,0.1144
124,0.6444,0.2236
125,0.1492,0.0996
126,0.6368,0.2324
127,0.1556,0.108
128,0.6352,0.2208
129,0.1472,0.0992
130,0.6392,0.2212
131,0.1564,0.104
132,0.6448,0.2096
133,0.1468,0.0972
134,0.6592,0.2076
135,0.1472,0.092
136,0.644,0.2112
137,0.1468,0.0948
138,0.65,0.2104
139,0.1536,0.1044
140,0.6488,0.2104
141,0.1464,0.0968
142,0.6468,0.204
143,0.1472,0.0868
144,0.6524,0.2028
145,0.1472,0.0936
146,0.6564,0.2124
147,0.146,0.0936
148,0.6548,0.2072
149,0.1456,0.098
150,0.65,0.2128
151,0.142,0.1
152,0.65,0.1988
153,0.1416,0.0876
154,0.6632,0.2048
155,0.1416,0.0876
156,0.6652,0.1972
157,0.144,0.0876
158,0.6632,0.2032
159,0.1492,0.0876
160,0.658,0.2012
161,0.1452,0.0952
162,0.6644,0.2064
163,0.1456,0.1024
164,0.6504,0.21
165,0.148,0.1004
166,0.6624,0.2072
167,0.1404,0.0896
168,0.672,0.2016
169,0.136,0.0848
170,0.6744,0.192
171,0.1392,0.0856
172,0.6724,0.2056
173,0.1352,0.0852
174,0.6764,0.194
175,0.1352,0.0828
176,0.678,0.198
177,0.1348,0.0908
178,0.6704,0.2032
179,0.1376,0.084
180,0.6772,0.2004
181,0.136,0.086
182,0.6816,0.194
183,0.1344,0.0788
184,0.6752,0.1988
185,0.1364,0.0864
186,0.6784,0.202
187,0.1364,0.0844
188,0.6892,0.1904
189,0.1352,0.0788
190,0.6788,0.2032
191,0.1408,0.0864
192,0.6732,0.1872
193,0.146,0.0916
194,0.6628,0.192
195,0.1452,0.0868
196,0.6748,0.1952
197,0.1384,0.0848
198,0.6676,0.1956
199,0.138,0.0848
200,0.6868,0.1976
201,0.134,0.0844
202,0.6852,0.1984
203,0.1304,0.0856
204,0.682,0.1996
205,0.1344,0.0792
206,0.6828,0.1952
207,0.1412,0.0924
208,0.6768,0.1936
209,0.1372,0.0876
210,0.684,0.1984
211,0.1308,0.0816
212,0.6896,0.1944
213,0.1268,0.0812
214,0.6828,0.1976
215,0.1292,0.0772
216,0.6864,0.19
217,0.1384,0.0832
218,0.684,0.1848
219,0.1372,0.0816
220,0.6768,0.1876
221,0.146,0.0908
222,0.6872,0.174
223,0.1364,0.0816
224,0.688,0.1868
225,0.1364,0.0804
226,0.6816,0.188
227,0.138,0.0856
228,0.686,0.1888
229,0.1316,0.082
230,0.688,0.1848
231,0.1328,0.0836
232,0.6848,0.186
233,0.1344,0.0788
234,0.6896,0.1816
235,0.1328,0.0808
236,0.6868,0.1988
237,0.1328,0.0828
238,0.6916,0.198
239,0.1284,0.0796
240,0.6872,0.1864
241,0.1316,0.0824
242,0.6888,0.1844
243,0.1356,0.08
244,0.6872,0.1848
245,0.1344,0.0756
246,0.6916,0.1928
247,0.1356,0.086
248,0.6928,0.1772
249,0.1336,0.0776
250,0.6984,0.1888
251,0.13,0.0764
252,0.6952,0.1868
253,0.1312,0.0796
254,0.7024,0.1804
255,0.1304,0.0772
256,0.7008,0.1848
257,0.1304,0.0824
258,0.6976,0.176
259,0.1316,0.0784
260,0.7016,0.1828
261,0.1304,0.078
262,0.6916,0.1988
263,0.13,0.08
264,0.6968,0.186
265,0.1308,0.08
266,0.6928,0.1856
267,0.1284,0.0824
268,0.6888,0.1876
269,0.1336,0.0872
270,0.6968,0.1784
271,0.128,0.0804
272,0.71,0.1756
273,0.132,0.0904
274,0.7024,0.1904
275,0.1248,0.0796
276,0.702,0.1692
277,0.1328,0.0852
278,0.6964,0.1804
279,0.1288,0.0836
280,0.6968,0.1844
281,0.1276,0.0796
282,0.6976,0.182
283,0.1292,0.0796
284,0.698,0.1808
285,0.1312,0.0844
286,0.6992,0.1788
287,0.1296,0.0816
288,0.7064,0.1756
289,0.1252,0.0748
290,0.7044,0.1812
291,0.1324,0.0856
292,0.696,0.182
293,0.1308,0.0836
294,0.7012,0.1676
295,0.1304,0.0824
296,0.7048,0.182
297,0.1268,0.0736
298,0.6988,0.1812
299,0.1276,0.0808
300,0.6992,0.1816
301,0.1324,0.0844
302,0.7,0.1664
303,0.1364,0.0816
304,0.698,0.1812
305,0.1268,0.0724
306,0.7124,0.1712
307,0.1308,0.0776
308,0.6976,0.1872
309,0.1256,0.0776
310,0.7048,0.182
311,0.126,0.0736
312,0.7096,0.1688
313,0.1268,0.0828
314,0.6928,0.1868
315,0.1332,0.0836
316,0.7112,0.1864
317,0.1296,0.0844
318,0.7108,0.1836
319,0.1228,0.0752
320,0.7072,0.1892
321,0.126,0.0736
322,0.7116,0.1848
323,0.1224,0.0752
324,0.7156,0.1732
325,0.128,0.0764
326,0.702,0.1884
327,0.126,0.0732
328,0.712,0.1772
329,0.1276,0.0788
330,0.7044,0.174
331,0.132,0.0772
332,0.7032,0.1828
333,0.1276,0.0752
334,0.7132,0.1644
335,0.1284,0.078
336,0.716,0.186
337,0.124,0.0724
338,0.7136,0.1768
339,0.1312,0.0764
340,0.7056,0.166
341,0.122,0.068
342,0.7192,0.172
343,0.1196,0.0712
344,0.7388,0.1616
345,0.1172,0.0656
346,0.726,0.1768
347,0.1224,0.0732
348,0.7232,0.1752
349,0.1228,0.0708
350,0.7212,0.1708
351,0.126,0.0708
352,0.7144,0.1688
353,0.1292,0.0752
354,0.712,0.1736
355,0.122,0.07
356,0.7184,0.162
357,0.1272,0.072
358,0.7204,0.1632
359,0.1268,0.0824
360,0.7064,0.1624
361,0.1308,0.0728
362,0.716,0.16
363,0.1252,0.0728
364,0.7148,0.174
365,0.1248,0.0724
366,0.7228,0.1644
367,0.1216,0.0704
368,0.7252,0.1756
369,0.1184,0.0676
370,0.7184,0.1724
371,0.118,0.0676
372,0.7304,0.1648
373,0.1152,0.068
374,0.7316,0.168
375,0.1208,0.0752
376,0.7236,0.16
377,0.1216,0.0716
378,0.7236,0.1696
379,0.1184,0.0688
380,0.7248,0.1796
381,0.1144,0.0656
382,0.7292,0.1736
383,0.1188,0.0624
384,0.7268,0.1656
385,0.1188,0.068
386,0.7244,0.1712
387,0.1132,0.0604
388,0.7324,0.1528
389,0.1212,0.0672
390,0.73,0.1684
391,0.12,0.07
392,0.7288,0.17
393,0.1204,0.0664
394,0.7308,0.1652
395,0.12,0.0608
396,0.7348,0.1668
397,0.1236,0.0636
398,0.7208,0.1636
399,0.1236,0.07
400,0.714,0.1696
401,0.1248,0.0704
402,0.7212,0.1612
403,0.1224,0.0652
404,0.7324,0.1564
405,0.12,0.0704
406,0.7256,0.1588
407,0.1196,0.0624
408,0.7268,0.164
409,0.1196,0.0668
410,0.7312,0.1608
411,0.1188,0.0696
412,0.7336,0.1604
413,0.1144,0.064
414,0.742,0.1568
415,0.1108,0.062
416,0.728,0.172
417,0.1192,0.0676
418,0.7348,0.1492
419,0.1176,0.0592
420,0.7316,0.1692
421,0.118,0.064
422,0.7344,0.1544
423,0.1204,0.07
424,0.7292,0.162
425,0.1192,0.0744
426,0.7296,0.1644
427,0.1224,0.0652
428,0.7312,0.1668
429,0.1212,0.0696
430,0.732,0.1628
431,0.1188,0.0676
432,0.7272,0.1556
433,0.12,0.0712
434,0.7316,0.1616
435,0.122,0.0772
436,0.7244,0.1604
437,0.1232,0.0736
438,0.7288,0.1592
439,0.1228,0.0756
440,0.7136,0.1768
441,0.1228,0.0728
442,0.726,0.1708
443,0.1244,0.0752
444,0.728,0.1688
445,0.1128,0.0636
446,0.7376,0.1676
447,0.1172,0.0676
448,0.7376,0.1448
449,0.1208,0.072
450,0.732,0.1692
451,0.1184,0.0648
452,0.74,0.1576
453,0.1136,0.0636
454,0.7384,0.1548
455,0.114,0.0612
456,0.7428,0.1608
457,0.1168,0.0696
458,0.7376,0.1652
459,0.1096,0.0668
460,0.7432,0.1616
461,0.1152,0.0716
462,0.732,0.1652
463,0.1144,0.0624
464,0.7344,0.1652
465,0.1148,0.0668
466,0.7388,0.16
467,0.1152,0.064
468,0.7404,0.1536
469,0.1148,0.0648
470,0.7468,0.1536
471,0.1176,0.0712
472,0.7424,0.1668
473,0.116,0.0692
474,0.7396,0.1592
475,0.112,0.064
476,0.7444,0.1588
477,0.1096,0.066
478,0.742,0.1696
479,0.1104,0.0604
480,0.7496,0.1524
481,0.1108,0.0548
482,0.7388,0.1636
483,0.1168,0.0632
484,0.7408,0.1548
485,0.1204,0.0684
486,0.736,0.1568
487,0.1136,0.0616
488,0.748,0.1704
489,0.108,0.0596
490,0.7408,0.16
491,0.118,0.0684
492,0.7432,0.1488
493,0.1204,0.0664
494,0.7324,0.16
495,0.1184,0.0704
496,0.736,0.1512
497,0.1156,0.0684
498,0.7448,0.148
499,0.112,0.0628
500,0.7452,0.152
501,0.1124,0.06
502,0.7464,0.1568
503,0.1104,0.0532
504,0.7512,0.1496
505,0.1112,0.0548
506,0.7408,0.1552
507,0.1132,0.058
508,0.7448,0.1536
509,0.1164,0.0644
510,0.7428,0.1548
511,0.11,0.0604
512,0.7488,0.1528
513,0.1096,0.0592
514,0.7496,0.1528
515,0.1056,0.062
516,0.7488,0.1576
517,0.108,0.0608
518,0.7548,0.1484
519,0.1048,0.0556
520,0.7576,0.1588
521,0.1084,0.06
522,0.7472,0.156
523,0.1112,0.0604
524,0.754,0.1504
525,0.104,0.06
526,0.758,0.1504
527,0.1016,0.0508
528,0.7492,0.1532
529,0.1084,0.0608
530,0.748,0.1572
531,0.1088,0.064
532,0.756,0.1516
533,0.1036,0.0556
534,0.7528,0.1588
535,0.1032,0.0572
536,0.7548,0.1536
537,0.1084,0.0596
538,0.7512,0.1508
539,0.104,0.0648
540,0.7584,0.1496
541,0.1036,0.0604
542,0.7532,0.156
543,0.1016,0.0568
544,0.754,0.1576
545,0.1104,0.0656
546,0.7476,0.1496
547,0.1136,0.0664
548,0.7456,0.1464
549,0.112,0.0608
550,0.7472,0.146
551,0.112,0.0604
552,0.7532,0.1508
553,0.1072,0.0548
554,0.7544,0.1448
555,0.1104,0.058
556,0.7476,0.1584
557,0.112,0.0616
558,0.7492,0.1604
559,0.108,0.064
560,0.7468,0.1588
561,0.11,0.0624
562,0.7576,0.14
563,0.1088,0.0588
564,0.7532,0.1476
565,0.1116,0.0672
566,0.7448,0.1472
567,0.1104,0.0604
568,0.7464,0.144
569,0.1148,0.0656
570,0.748,0.1552
571,0.11,0.0636
572,0.7436,0.1508
573,0.1112,0.062
574,0.75,0.1512
575,0.1084,0.058
576,0.7552,0.1508
577,0.1108,0.0588
578,0.7456,0.1452
579,0.116,0.066
580,0.7472,0.1544
581,0.1104,0.0588
582,0.7592,0.1548
583,0.1096,0.0552
584,0.7512,0.1472
585,0.1084,0.0624
586,0.7536,0.152
587,0.1084,0.0576
588,0.7556,0.1496
589,0.1104,0.0592
590,0.7548,0.1524
591,0.1116,0.0596
592,0.756,0.1392
593,0.1096,0.0536
594,0.7568,0.1436
595,0.1116,0.0552
596,0.7524,0.1412
597,0.114,0.0612
598,0.7496,0.1484
599,0.112,0.06
600,0.7504,0.1516
601,0.1088,0.0596
602,0.7552,0.1404
603,0.1116,0.0564
604,0.7548,0.1384
605,0.1068,0.0556
606,0.7572,0.1492
607,0.108,0.054
608,0.7624,0.1544
609,0.1052,0.0488
610,0.7552,0.1496
611,0.1076,0.0556
612,0.752,0.1484
613,0.112,0.064
614,0.7504,0.1476
615,0.1108,0.0596
616,0.7604,0.1488
617,0.1092,0.06
618,0.7524,0.1496
619,0.1104,0.0644
620,0.7536,0.1592
621,0.11,0.0588
622,0.7516,0.158
623,0.1068,0.056
624,0.7536,0.1452
625,0.1096,0.06
626,0.7612,0.1396
627,0.1076,0.054
628,0.7572,0.1544
629,0.1084,0.056
630,0.7624,0.1452
631,0.1012,0.05
632,0.7616,0.1504
633,0.1024,0.0512
634,0.7688,0.1396
635,0.104,0.0544
636,0.7628,0.1376
637,0.1068,0.0528
638,0.7532,0.1584
639,0.1064,0.052
640,0.7636,0.146
641,0.1048,0.0548
642,0.7552,0.1432
643,0.1116,0.0632
644,0.7508,0.152
645,0.1096,0.0564
646,0.7616,0.1324
647,0.108,0.0584
648,0.7636,0.1448
649,0.1084,0.0608
650,0.7644,0.1428
651,0.1112,0.0648
652,0.7528,0.1408
653,0.1108,0.0672
654,0.7556,0.142
655,0.11,0.0588
656,0.7528,0.1448
657,0.11,0.0612
658,0.7528,0.1412
659,0.1116,0.0572
660,0.7624,0.1476
661,0.1096,0.0576
662,0.7512,0.1528
663,0.1112,0.0584
664,0.754,0.1444
665,0.1096,0.064
666,0.7556,0.1516
667,0.108,0.0628
668,0.7496,0.1484
669,0.1068,0.0592
670,0.7572,0.152
671,0.104,0.0532
672,0.7716,0.1392
673,0.1,0.0552
674,0.7636,0.132
675,0.1048,0.0568
676,0.7588,0.1464
677,0.1088,0.0648
678,0.7592,0.1396
679,0.1048,0.0556
680,0.758,0.1456
681,0.106,0.0544
682,0.7616,0.14
683,0.1072,0.0608
684,0.76,0.1364
685,0.1092,0.0608
686,0.7588,0.1492
687,0.1072,0.0592
688,0.7588,0.1452
689,0.106,0.0576
690,0.7568,0.1492
691,0.1092,0.068
692,0.7568,0.1472
693,0.1108,0.0672
694,0.756,0.1584
695,0.1048,0.0612
696,0.7644,0.1464
697,0.1092,0.0672
698,0.7564,0.1356
699,0.1064,0.0572
700,0.758,0.1424
701,0.108,0.058
702,0.7608,0.1432
703,0.1056,0.0588
704,0.7568,0.1416
705,0.1084,0.058
706,0.7632,0.1304
707,0.1076,0.0572
708,0.764,0.1384
709,0.1084,0.0564
710,0.7692,0.13
711,0.1032,0.05
712,0.7636,0.1436
713,0.1084,0.0584
714,0.7612,0.1436
715,0.1076,0.06
716,0.7592,0.1528
717,0.1072,0.058
718,0.7604,0.1344
719,0.1032,0.0528
720,0.7732,0.1332
721,0.1036,0.0552
722,0.7684,0.1428
723,0.108,0.0548
724,0.75,0.1396
725,0.112,0.0528
726,0.754,0.1412
727,0.1152,0.062
728,0.7496,0.1456
729,0.1116,0.0612
730,0.7516,0.1552
731,0.1104,0.0588
732,0.7628,0.1384
733,0.1052,0.0544
734,0.7708,0.1536
735,0.1008,0.0504
736,0.7644,0.1512
737,0.104,0.052
738,0.7636,0.1496
739,0.108,0.0624
740,0.7616,0.134
741,0.108,0.0612
742,0.762,0.1416
743,0.112,0.066
744,0.7616,0.1412
745,0.1056,0.0592
746,0.7708,0.1356
747,0.1028,0.0556
748,0.768,0.1388
749,0.0996,0.054
750,0.7728,0.146
751,0.1004,0.0588
752,0.7664,0.1428
753,0.104,0.0552
754,0.7648,0.1476
755,0.1012,0.0516
756,0.77,0.1412
757,0.1028,0.05
758,0.7736,0.142
759,0.102,0.0556
760,0.7652,0.1548
761,0.1084,0.0636
762,0.7584,0.1428
763,0.1104,0.0588
764,0.7692,0.1392
765,0.1068,0.0532
766,0.7624,0.136
767,0.1072,0.056
768,0.77,0.1392
769,0.1044,0.0552
770,0.762,0.14
771,0.1104,0.062
772,0.7568,0.1376
773,0.1132,0.062
774,0.7548,0.142
775,0.1116,0.066
776,0.7492,0.1404
777,0.1132,0.062
778,0.7504,0.1532
779,0.1132,0.0608
780,0.7536,0.1364
781,0.114,0.0596
782,0.7508,0.1436
783,0.1148,0.0696
784,0.76,0.136
785,0.1112,0.0604
786,0.76,0.1372
787,0.1152,0.0608
788,0.7572,0.1376
789,0.1108,0.0588
790,0.7576,0.1432
791,0.1124,0.0628
792,0.7584,0.1388
793,0.1116,0.0668
794,0.752,0.1456
795,0.1104,0.0668
796,0.766,0.1364
797,0.1092,0.0576
798,0.7604,0.1276
799,0.1112,0.0544
800,0.7576,0.134
801,0.114,0.0632
802,0.7588,0.1236
803,0.1104,0.056
804,0.762,0.1448
805,0.1032,0.0544
806,0.762,0.1412
807,0.1052,0.0572
808,0.7592,0.1376
809,0.1048,0.0628
810,0.7688,0.1352
811,0.1052,0.0572
812,0.768,0.1308
813,0.1084,0.0588
814,0.7696,0.1348
815,0.1064,0.0592
816,0.7752,0.1416
817,0.1052,0.06
818,0.758,0.138
819,0.1116,0.064
820,0.7548,0.1392
821,0.1052,0.0588
