mc_step,rho_C,rho_CD
0,0.492,0.5008
1,0.284,0.4028
2,0.41,0.4228
3,0.296,0.3852
4,0.3408,0.3856
5,0.292,0.364
6,0.3232,0.3728
7,0.26,0.3512
8,0.3172,0.3736
9,0.2512,0.3408
10,0.2884,0.36
11,0.242,0.316
12,0.2928,0.3336
13,0.2436,0.3268
14,0.29,0.3644
15,0.2444,0.322
16,0.2796,0.354
17,0.2356,0.3232
18,0.2728,0.3564
19,0.2228,0.3136
20,0.2524,0.3416
21,0.224,0.3052
22,0.2736,0.3544
23,0.2148,0.31
24,0.2512,0.3384
25,0.234,0.3204
26,0.2332,0.3184
27,0.2232,0.3204
28,0.2564,0.3528
29,0.2176,0.3144
30,0.2408,0.3352
31,0.2184,0.322
32,0.2428,0.346
33,0.2112,0.3088
34,0.2404,0.3264
35,0.2236,0.32
36,0.2244,0.3156
37,0.226,0.3232
38,0.2308,0.3256
39,0.2188,0.3236
40,0.2312,0.3308
41,0.226,0.3348
42,0.2204,0.3184
43,0.23,0.328
44,0.214,0.3092
45,0.2276,0.3296
46,0.2224,0.3328
47,0.2104,0.3104
48,0.2496,0.3492
49,0.196,0.2904
50,0.2412,0.342
51,0.192,0.2928
52,0.2388,0.3408
53,0.204,0.3088
54,0.228,0.3272
55,0.2152,0.3216
56,0.2044,0.3092
57,0.2408,0.3356
58,0.1984,0.2936
59,0.236,0.338
60,0.2188,0.3256
61,0.2284,0.3412
62,0.2108,0.3176
63,0.2108,0.326
64,0.2136,0.334
65,0.2212,0.3284
66,0.216,0.3304
67,0.2096,0.3208
68,0.234,0.3372
69,0.204,0.3104
70,0.2264,0.3416
71,0.1924,0.2952
72,0.2328,0.3312
73,0.2012,0.3156
74,0.2268,0.3428
75,0.218,0.3372
76,0.2,0.3024
77,0.2136,0.3224
78,0.2112,0.316
79,0.2144,0.3196
80,0.2204,0.322
81,0.2136,0.3148
82,0.2036,0.3128
83,0.2144,0.3212
84,0.23,0.3348
85,0.2212,0.3264
86,0.2032,0.3132
87,0.2132,0.3376
88,0.2248,0.3396
89,0.1892,0.302
90,0.2332,0.356
91,0.1888,0.2944
92,0.2268,0.3368
93,0.2136,0.3164
94,0.214,0.3204
95,0.2068,0.3172
96,0.2136,0.326
97,0.2084,0.3312
98,0.1992,0.3076
99,0.2156,0.334
100,0.2052,0.322
101,0.2148,0.3356
102,0.1804,0.2868
103,0.2416,0.3548
104,0.1888,0.306
105,0.2152,0.3316
106,0.196,0.3056
107,0.23,0.3304
108,0.1948,0.3044
109,0.2096,0.3232
110,0.2132,0.3304
111,0.214,0.3384
112,0.2116,0.3316
113,0.2012,0.322
114,0.198,0.312
115,0.2092,0.3284
116,0.2092,0.324
117,0.22,0.3292
118,0.2008,0.3284
119,0.2196,0.3344
120,0.2056,0.3168
121,0.196,0.3192
122,0.2244,0.3468
123,0.1972,0.3104
124,0.2228,0.3468
125,0.2032,0.3184
126,0.2028,0.3208
127,0.19,0.2968
128,0.2196,0.3288
129,0.194,0.2996
130,0.2256,0.3316
131,0.1876,0.2944
132,0.2164,0.3236
133,0.1944,0.32
134,0.2096,0.3264
135,0.2048,0.3216
136,0.1968,0.308
137,0.2128,0.326
138,0.2044,0.3232
139,0.1956,0.3052
140,0.2136,0.322
141,0.1988,0.3108
142,0.2188,0.3416
143,0.2004,0.31
144,0.2036,0.3116
145,0.2228,0.3364
146,0.192,0.3112
147,0.218,0.3364
148,0.182,0.3004
149,0.2236,0.3472
150,0.1896,0.3016
151,0.2244,0.342
152,0.1976,0.31
153,0.216,0.3368
154,0.2008,0.3236
155,0.2148,0.3316
156,0.1928,0.312
157,0.204,0.3228
158,0.2044,0.3136
159,0.2104,0.328
160,0.206,0.3216
161,0.2064,0.3232
162,0.2096,0.3236
163,0.1968,0.3132
164,0.2308,0.3464
165,0.1812,0.2884
166,0.2164,0.332
167,0.2024,0.3204
168,0.2128,0.3284
169,0.198,0.31
170,0.2088,0.3288
171,0.2092,0.3308
172,0.2008,0.3208
173,0.2176,0.34
174,0.2052,0.3256
175,0.2044,0.3332
176,0.2072,0.3276
177,0.218,0.3288
178,0.1984,0.3168
179,0.2116,0.3244
180,0.2088,0.3272
181,0.208,0.326
182,0.2104,0.3312
183,0.1868,0.3088
184,0.2084,0.326
185,0.1956,0.3252
186,0.2088,0.3296
187,0.1996,0.314
188,0.2052,0.324
189,0.188,0.3024
190,0.22,0.3356
191,0.1868,0.3052
192,0.2148,0.334
193,0.1964,0.302
194,0.2112,0.3236
195,0.184,0.298
196,0.2108,0.3256
197,0.202,0.316
198,0.1872,0.3036
199,0.2132,0.334
200,0.1988,0.3152
201,0.1996,0.3128
202,0.212,0.3328
203,0.2052,0.3172
204,0.2116,0.3164
205,0.1968,0.3132
206,0.2048,0.322
207,0.196,0.3128
208,0.2008,0.306
209,0.2108,0.3332
210,0.2008,0.3184
211,0.2152,0.336
212,0.202,0.316
213,0.1988,0.3156
214,0.2152,0.3332
215,0.1992,0.3152
216,0.2104,0.3252
217,0.2016,0.3244
218,0.188,0.3056
219,0.214,0.3384
220,0.1924,0.3124
221,0.2096,0.3308
222,0.1948,0.3152
223,0.206,0.3232
224,0.2088,0.332
225,0.2056,0.3208
226,0.2016,0.3232
227,0.2,0.3152
228,0.1888,0.2992
229,0.2032,0.324
230,0.1992,0.3132
231,0.1924,0.31
232,0.2008,0.3252
233,0.2072,0.3236
234,0.194,0.3056
235,0.2228,0.3328
236,0.1796,0.2792
237,0.224,0.3308
238,0.1892,0.3024
239,0.222,0.3444
240,0.206,0.3168
241,0.2144,0.3284
242,0.1936,0.3136
243,0.1972,0.3164
244,0.2076,0.3264
245,0.2,0.3224
246,0.2108,0.328
247,0.2036,0.3228
248,0.1992,0.318
249,0.2124,0.3392
250,0.2068,0.3108
251,0.1872,0.3044
252,0.1944,0.3064
253,0.2148,0.3452
254,0.1848,0.3012
255,0.214,0.334
256,0.1828,0.2936
257,0.218,0.3296
258,0.208,0.3296
259,0.1964,0.3192
260,0.2156,0.3332
